Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"2,500,000",5,3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT, Adeniran Ogunsanya Surulere Lagos,A Unique & Tastefully Finished Brand New 3Bedroom Flat All Ensuit,3 beds,3 baths,4 Toilets
"25,000,000",11,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Adeniran Ogunsanya Adeniran Ogunsanya Surulere Lagos,Exquisite 500sqm Office Block On Adeniran Ogunsanya For Rent, beds, baths,10 Toilets
"1,500,000",3,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT, Shonibare Estate Maryland Lagos,Mini Flat Available At Shonibare Estate,1 beds,1 baths,1 Toilets
"3,500,000",7,3 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,"Nicely Built 3bedroom Flat For Rent At Parkview Estate, Ikoyi",3 beds,4 baths,4 Toilets
"4,000,000",4,4 BEDROOM FLAT / APARTMENT FOR RENT,... Ikeja Gra Ikeja Lagos,6 Unit Of 4bedroom Flat,4 beds,4 baths,4 Toilets
"4,500,000",4,COMMERCIAL PROPERTY FOR RENT,Alagomeji Alagomeji Yaba Lagos,Clean and serviced 150sqm office space ,0 beds,0 baths,3 Toilets
"7,000,000",4,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ikeja GRA Ikeja Gra Ikeja Lagos,Clean 6units Of 4bedroom Townhouse In Ikeja GRA For Rent,4 beds,4 baths,5 Toilets
"31,000,000",7,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Anthony bus stoo Anthony Village Maryland Lagos,Brand new 550sqm office space in Anthony for Rent , beds, baths,6 Toilets
"12,000,000",4,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Ikoyi S.w Ikoyi Lagos,"Tastefully Finished 4 Bedroom Townhouse For Rent At McDonald Road, Ikoyi",4 beds,5 baths,5 Toilets
"5,000,000",8,3 BEDROOM FLAT / APARTMENT FOR RENT, Ikeja Gra Ikeja Lagos,An Exquisite Well Finished And Partly Furnished 8 (Nos) 3 Bedroom Flats With A Room BQ Each,3 beds,3 baths,4 Toilets
